TABLE S1. Data from Adenot;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
No;SMILES-Adenot;SMILES;SMILES-B;Name;BBB-crossing;P-gp;note;E;S;A;B;V;MW;PSA;logP;logD(7.4);No of H donors;No of H Accetors;pKa (Acid);pKa (Base);Iv (Carboxy);(+)Form;(-)Form;(+/-)Form;0Form;No of Rotatable bonds;Distance-Ab;Training or test set;;;;;;
515;CCCCCC(C)C(C)c1cc(c2c(c1)OC(C)(C)C1=C2CC(C)CC1)OC(=O)CCCN1CCCCCC1;CCCCCC(C)C(C)c4cc(OC(=O)CCCN1CCCCCC1)c3C2=C(CCC(C)C2)C(C)(C)Oc3c4 ;CCCCCC(C)C(C)c4cc(OC(=O)CCCN1CCCCCC1)c3C2=C(CCC(C)C2)C(C)(C)Oc3c4 ;nabazenil;1;;;1,91;2,21;0,03;1,50;4,67;537,81;38,77;10,78;8,30;0;4;999;10;0;0,997;0,000;0,000;0,003;12;2,02;Training;;;;;;
516;CCCCCCC(C)(C)c1cc(c2c(c1)OC(C)(C)[C@@H]1CCC(=O)C[C@H]12)O;CCCCCCC(C)(C)c3cc(O)c2C1CC(=O)CCC1C(C)(C)Oc2c3 ;CCCCCCC(C)(C)c3cc(O)c2C1CC(=O)CCC1C(C)(C)Oc2c3 ;nabilone;1;;;1,45;1,74;0,34;1,12;3,17;372,54;46,53;6,08;6,08;1;3;9,6;-999;0;0,000;0,006;0,000;0,994;6;0,91;Training;;;;;;
517;O=C(Cn1ccnc1)c1ccc2ccccc2c1;O=C(Cn1ccnc1)c3ccc2ccccc2c3 ;O=C(Cn1ccnc1)c3ccc2ccccc2c3 ;nafimidone;1;;;2,07;1,99;0,05;0,89;1,81;236,27;34,89;2,66;2,31;0;3;999;7,5;0;0,557;0,000;0,000;0,443;3;0,33;Training;;;;;;
518;C[C@@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]2C[C@H]2Cc3ccccc3C[C@]21C(=O)CO;CC35CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC6Cc4ccccc4CC56C(=O)CO ;CC35CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC6Cc4ccccc4CC56C(=O)CO ;naflocort;1;;;2,76;3,92;0,38;1,92;3,49;464,57;74,60;3,62;3,62;2;4;999;-999;0;0,000;0,000;0,000;1,000;2;1,05;Training;;;;;;
519;390;OC1CCC2(O)C3Cc5ccc(O)c6OC1C2(CCN3CC4CCC4)c56;OC1CCC2(O)C3Cc5ccc(O)c6OC1C2(CCN3CC4CCC4)c56;nalbuphine;1;;;2,48;2,86;0,80;2,19;2,62;357,44;73,16;1,59;0,64;3;5;9,6;8,3;0;0,883;0,001;0,006;0,111;2;0,31;Training;;;;;;
520;Oc1ccc2c3c1O[C@H]1C(=C)CC[C@@]4(O)[C@@H](C2)N(CC[C@@]134)CC1CC1;Oc1ccc2CC4N(CCC35C(Oc1c23)C(=C)CCC45O)CC6CC6 ;Oc1ccc2CC4N(CCC35C(Oc1c23)C(=C)CCC45O)CC6CC6 ;nalmefene;1;;;2,41;2,42;0,53;1,83;2,52;339,43;52,93;2,67;1,72;2;4;9,6;8,3;0;0,883;0,001;0,006;0,111;2;0,39;Training;;;;;;
521;CC(C)=CCN1CC[C@@]23[C@H]4Oc5c(ccc(c52)C[C@@H]1[C@]3(O)CCC4=O)O;CC(C)=CCN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3=O)c45 ;CC(C)=CCN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3=O)c45 ;nalmexone;1;;;2,30;2,83;0,54;2,26;2,64;355,43;70,00;0,73;0,11;2;5;9,6;7,9;0;0,755;0,002;0,005;0,239;2;0,25;Training;;;;;;
522;392;Oc1ccc2CC4N(CCC35C(Oc1c23)C(=O)CCC45O)CC6CC6 ;Oc1ccc2CC4N(CCC35C(Oc1c23)C(=O)CCC45O)CC6CC6 ;naltrexone;1;;;2,40;2,97;0,52;2,22;2,44;341,40;70,00;0,40;-0,55;2;5;9,6;8,3;0;0,883;0,001;0,006;0,111;2;0,37;Training;;;;;;
523;CN\C(\Cc1ccc2ccccc2c1)=N/C;CNC(Cc2ccc1ccccc1c2)=NC ;CNC(Cc2ccc1ccccc1c2)=NC ;napactadine;1;;;1,70;1,15;0,25;0,64;1,81;212,29;24,39;3,66;0,66;1;2;999;11,1;0;1,000;0,000;0,000;0,000;3;0,35;Training;;;;;;
524;C1CN=C(CC2=Cc3ccccc3CC2)N1;C3CN=C(CC2=Cc1ccccc1CC2)N3 ;C3CN=C(CC2=Cc1ccccc1CC2)N3 ;napamezole;1;;;1,68;0,77;0,24;0,95;1,74;212,29;24,39;3,74;1,11;1;2;999;10,2;0;0,998;0,000;0,000;0,002;2;0,63;Training;;;;;;
525;CC(Oc1cccc2ccccc12)/C(/N)=N/O;CC(Oc1cccc2ccccc12)C(N)=NO ;CC(Oc1cccc2ccccc12)C(N)=NO ;naprodoxime;1;;;1,95;1,53;0,59;1,09;1,78;230,26;67,84;2,78;2,77;3;4;999;5,7;0;0,020;0,000;0,000;0,980;3;0,46;Training;;;;;;
526;CCC1=NN(CCCN2CCN(CC2)c2cccc(c2)Cl)C(=O)N1CCOc1ccccc1;CCc3nn(CCCN1CCN(CC1)c2cccc(Cl)c2)c(=O)n3CCOc4ccccc4 ;CCc3nn(CCCN1CCN(CC1)c2cccc(Cl)c2)c(=O)n3CCOc4ccccc4 ;nefazodone;1;;;2,77;2,80;0,00;2,91;3,59;470,01;51,62;5,26;5,16;0;7;999;6,8;0;0,201;0,000;0,000;0,799;10;0,74;Training;;;;;;
527;Cc1cccc(c1NC(=O)CN1CCCC1=O)C;Cc1cccc(C)c1NC(=O)CN2CCCC2=O ;Cc1cccc(C)c1NC(=O)CN2CCCC2=O ;nefiracetam;1;;;1,41;1,89;0,39;1,41;1,97;246,30;49,41;1,20;1,20;1;4;999;-999;0;0,000;0,000;0,000;1,000;3;0,29;Training;;;;;;
528;Fc1ccc2c(noc2c1)CCCN1CCC(CC1)N1C(=O)Nc2ccccc21;Fc5ccc4c(CCCN1CCC(CC1)n2c(=O)[nH]c3ccccc23)noc4c5 ;Fc5ccc4c(CCCN1CCC(CC1)n2c(=O)[nH]c3ccccc23)noc4c5 ;neflumozide;1;;;2,80;2,48;0,15;1,86;2,86;394,44;61,61;2,95;2,17;1;6;999;8,1;0;0,834;0,000;0,000;0,166;5;0,31;Training;;;;;;
529;O=C(CCNNC(=O)c1ccncc1)NCc1ccccc1;O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2 ;O=C(CCNNC(=O)c1ccncc1)NCc2ccccc2 ;nialamide;1;;;1,98;2,60;0,87;1,68;2,32;298,34;83,12;0,50;0,50;3;6;999;3,8;0;0,000;0,000;0,000;1,000;7;0,66;Training;;;;;;
530;CC(CCN1CCN(CC1)c1ccc(cc1)F)NC(=O)c1cccnc1;CC(CCN1CCN(CC1)c2ccc(F)cc2)NC(=O)c3cccnc3 ;CC(CCN1CCN(CC1)c2ccc(F)cc2)NC(=O)c3cccnc3 ;niaprazine;1;;;1,97;2,57;0,36;1,85;2,78;356,44;48,47;1,98;1,57;1;5;999;7,6;0;0,613;0,000;0,000;0,387;6;0,28;Training;;;;;;
531;C\C=C/C1O[C@]23CC[C@](O1)(C(=O)COC(=O)c1ccncc1)[C@@]3(C)C[C@H](O)[C@H]1[C@H]2CCC2=CC(=O)CC[C@]12C;CC=CC1OC34CCC(O1)(C(=O)COC(=O)c2ccncc2)C3(C)CC(O)C5C4CCC6=CC(=O)CCC56C ;CC=CC1OC34CCC(O1)(C(=O)COC(=O)c2ccncc2)C3(C)CC(O)C5C4CCC6=CC(=O)CCC56C ;nicocortonide;1;;;2,89;4,19;0,32;2,82;3,99;535,63;112,02;3,15;3,15;1;8;999;3,4;0;0,000;0,000;0,000;1,000;6;0,33;Training;;;;;;
532;CN1CC[C@@]23[C@H]4Oc5c(ccc(c52)C[C@@H]1[C@@H]3C=C[C@@H]4OC(=O)c1cccnc1)OC(=O)c1cccnc1;CN2CCC36C4Oc7c(OC(=O)c1cccnc1)ccc(CC2C3C=CC4OC(=O)c5cccnc5)c67 ;CN2CCC36C4Oc7c(OC(=O)c1cccnc1)ccc(CC2C3C=CC4OC(=O)c5cccnc5)c67 ;nicomorphine;1;;;3,26;3,54;0,08;2,48;3,51;495,52;90,85;2,25;1,47;0;8;999;8,1;0;0,834;0,000;0,000;0,166;6;0,33;Training;;;;;;
533;O=C(N1CCOCC1)c1cccnc1;O=C(N1CCOCC1)c2cccnc2 ;O=C(N1CCOCC1)c2cccnc2 ;nicopholine;1;;;1,10;1,68;0,04;1,27;1,45;192,21;42,43;-0,70;-0,70;0;4;999;3,4;0;0,000;0,000;0,000;1,000;1;0,35;Training;;;;;;
534;NC(=O)c1cccnc1;NC(=O)c1cccnc1 ;NC(=O)c1cccnc1 ;nicotinamide;1;;;0,99;1,40;0,35;0,83;0,93;122,12;55,98;-0,27;-0,27;2;3;999;3,4;0;0,000;0,000;0,000;1,000;1;0,43;Training;;;;;;
535;394;CN1CCCC1c2cccnc2 ;CN1CCCC1c2cccnc2 ;nicotine;1;;;1,06;1,13;0,00;0,89;1,37;162,23;16,13;0,75;-0,12;0;2;999;8,2;0;0,863;0,000;0,000;0,137;1;0,24;Training;;;;;;
536;CCN(CC)C(=O)c1cccnc1;CCN(CC)C(=O)c1cccnc1 ;CCN(CC)C(=O)c1cccnc1 ;nikethamide;1;;;0,93;1,35;0,04;1,01;1,50;178,23;33,20;0,60;0,60;0;3;999;3,4;0;0,000;0,000;0,000;1,000;3;0,42;Training;;;;;;
537;CN1C(=O)CN=C(c2ccccc2)c2cc(ccc12)[N+]([O-])=O;CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O ;CN2C(=O)CN=C(c1ccccc1)c3cc(ccc23)N(=O)=O ;nimetazepam;1;;;2,03;2,50;0,02;1,67;2,13;295,29;78,49;2,16;2,16;0;6;999;3,2;0;0,000;0,000;0,000;1,000;2;0,32;Training;;;;;;
538;CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C;CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C ;CCC(C)C(C)(COC(N)=O)COC(=O)NC(C)C ;nisobamate;1;;;0,60;1,53;0,50;1,50;2,29;274,36;90,65;2,61;2,61;3;6;999;-999;0;0,000;0,000;0,000;1,000;9;0,42;Training;;;;;;
539;CNCCC(Oc1ccccc1OC)c1ccccc1;CNCCC(Oc1ccccc1OC)c2ccccc2 ;CNCCC(Oc1ccccc1OC)c2ccccc2 ;nisoxetine;1;;;1,50;1,53;0,14;1,13;2,25;271,35;30,49;3,62;1,22;1;3;999;9,9;0;0,997;0,000;0,000;0,003;7;0,24;Training;;;;;;
540;N\C(=N)\c1oc(cc1)c1ccccc1[N+]([O-])=O;NC(=N)c1ccc(o1)c2ccccc2N(=O)=O ;NC(=N)c1ccc(o1)c2ccccc2N(=O)=O ;nitrafudam;1;;;1,60;2,04;0,31;1,17;1,62;231,21;108,83;1,20;-0,49;3;6;999;9,1;0;0,980;0,000;0,000;0,020;3;0,28;Training;;;;;;
541;C[C@@]12Cc3cnn(c3C=C2CC[C@@H]2[C@@H]1CC[C@@]1(C)[C@H]2CC[C@@]1(O)C#C)c1ccc(cc1)F;CC34Cc2cnn(c1ccc(F)cc1)c2C=C3CCC5C4CCC6(C)C5CCC6(O)C#C;CC34Cc2cnn(c1ccc(F)cc1)c2C=C3CCC5C4CCC6(C)C5CCC6(O)C#C;nivazol (nivacortol);1;;Adenot names nivacortol;2,76;3,06;0,27;1,57;3,33;430,56;37,53;5,49;5,49;1;3;999;1,6;0;0,000;0,000;0,000;1,000;2;0,75;Training;;;;;;
542;CNC\C=C(\c1ccc(cc1)Br)/c1cccnc1;CNCC=C(c1ccc(Br)cc1)c2cccnc2 ;CNCC=C(c1ccc(Br)cc1)c2cccnc2 ;nomelidine;1;;;1,94;1,57;0,27;0,77;2,08;303,20;24,92;3,10;1,87;1;2;999;8,6;0;0,941;0,000;0,000;0,059;4;0,25;Training;;;;;;
543;CN1CC(c2ccccc2)c2cccc(c2C1)N;CN3CC(c1ccccc1)c2cccc(N)c2C3 ;CN3CC(c1ccccc1)c2cccc(N)c2C3 ;nomifensine;1;;;1,96;1,73;0,18;1,21;1,98;238,33;29,26;2,38;1,16;2;2;999;8,6;0;0,941;0,000;0,000;0,059;1;0,37;Training;;;;;;
544;CCCCCCCCCNc1ncnc2[nH]ccc12;CCCCCCCCCNc1ncnc2[nH]ccc12 ;CCCCCCCCCNc1ncnc2[nH]ccc12 ;nonapyrimine;1;;;1,50;1,53;0,58;1,20;2,23;260,38;53,60;5,49;5,49;2;4;999;4,8;0;0,003;0,000;0,000;0,997;9;0,50;Training;;;;;;
545;397;Clc3ccc2NC(=O)CN=C(c1ccccc1)c2c3 ;Clc3ccc2NC(=O)CN=C(c1ccccc1)c2c3 ;nordazepam;1;;;2,22;1,60;0,26;1,13;1,93;270,71;41,46;2,76;2,76;1;3;999;3,2;0;0,000;0,000;0,000;1,000;1;0,30;Training;;;;;;
546;FCC(F)(F)F;FCC(F)(F)F ;FCC(F)(F)F ;norflurane;1;;;-0,35;0,05;0,05;0,00;0,46;102,03;0,00;1,33;1,33;0;0;999;-999;0;0,000;0,000;0,000;1,000;1;20,87;Training;;;;;;
547;Oc1ccc2c(c1)[C@]13CCCC[C@H]3[C@@H](C2)NCC1;Oc4ccc3CC1NCCC2(CCCCC12)c3c4 ;Oc4ccc3CC1NCCC2(CCCCC12)c3c4 ;norlevorphanol;1;;;1,68;1,61;0,65;1,03;1,96;243,34;32,26;2,99;1,86;2;2;10,3;8,5;0;0,925;0,000;0,001;0,073;0;0,34;Training;;;;;;
548;O[C@H]1C=C[C@H]2[C@H]3Cc4ccc(c5c4[C@@]2(CCN3)[C@H]1O5)O;OC1C=CC2C3Cc4ccc(O)c5OC1C2(CCN3)c45 ;OC1C=CC2C3Cc4ccc(O)c5OC1C2(CCN3)c45 ;normorphine;1;;;2,17;2,21;0,60;1,59;1,92;271,31;61,72;0,78;-0,64;3;4;9,6;8,8;0;0,956;0,000;0,006;0,038;0;0,48;Training;;;;;;
549;Clc1ccc2c(c1)C(=NCC(=O)N2)C1=CCCCC1;Clc3ccc2NC(=O)CN=C(C1=CCCCC1)c2c3 ;Clc3ccc2NC(=O)CN=C(C1=CCCCC1)c2c3 ;nortetrazepam;1;;;2,00;1,29;0,23;1,12;2,02;274,74;41,46;3,28;3,28;1;3;999;5,1;0;0,005;0,000;0,000;0,995;1;0,37;Training;;;;;;
550;398;CNCCC=C2c1ccccc1CCc3ccccc23;CNCCC=C2c1ccccc1CCc3ccccc23;nortriptyline (nortriptylene and Quinpirole);1;;;1,90;1,30;0,24;0,55;2,26;263,38;12,03;5,02;2,46;1;1;999;10,1;0;0,998;0,000;0,000;0,002;3;0,32;Training;;;;;;
551;399;COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45;COc2ccc1C(OC(=O)c1c2OC)C4N(C)CCc5cc3OCOc3c(OC)c45;noscapine;1;;;2,33;3,09;0,02;2,09;2,88;413,42;75,69;1,92;1,88;0;8;999;6,3;0;0,074;0,000;0,000;0,926;4;0,49;Training;;;;;;
552;400;CN(C)CCON=C2c1ccccc1CCc3ccccc23 ;CN(C)CCON=C2c1ccccc1CCc3ccccc23 ;noxiptiline;1;;;1,91;1,42;0,00;0,93;2,42;294,39;24,83;4,70;3,38;0;3;999;8,7;0;0,952;0,000;0,000;0,048;4;0,24;Training;;;;;;
553;Clc1ccc2c(c1)\C(=C/C1CN3CCC1CC3)\c1ccccc1S2;Clc5ccc4Sc1ccccc1C(=CC2CN3CCC2CC3)c4c5 ;Clc5ccc4Sc1ccccc1C(=CC2CN3CCC2CC3)c4c5 ;nuclotixene;1;;;2,86;1,59;0,00;0,80;2,61;353,91;28,54;5,75;4,05;0;1;999;9,1;0;0,980;0,000;0,000;0,020;1;3,31;Training;;;;;;
554;CC1=CC=CN2C(=O)C(=C(C)N=C21)CCN1CCC(CC1)c1noc2cc(ccc12)F;Cc2nc1c(C)cccn1c(=O)c2CCN3CCC(CC3)c4noc5cc(F)ccc45 ;Cc2nc1c(C)cccn1c(=O)c2CCN3CCC(CC3)c4noc5cc(F)ccc45 ;ocaperidone;1;;;3,13;2,52;0,00;2,38;3,09;420,48;61,94;2,26;1,40;0;6;999;8,2;0;0,863;0,000;0,000;0,137;4;0,81;Training;;;;;;
555;O=C(c1ccccn1)c1cnn2c1N=CC=C2c1ccncc1;O=C(c1ccccn1)c2cnn3c(ccnc23)c4ccncc4 ;O=C(c1ccccn1)c2cnn3c(ccnc23)c4ccncc4 ;ocinaplon;1;;;2,61;2,36;0,00;1,78;2,15;301,30;73,03;1,09;1,08;0;6;999;5,7;0;0,020;0,000;0,000;0,980;3;0,28;Training;;;;;;
556;CCCCCCC(C)NN;CCCCCCC(C)NN ;CCCCCCC(C)NN ;octamoxin;1;;;0,44;0,74;0,51;0,76;1,44;144,26;38,05;1,87;1,45;3;2;999;7,6;0;0,613;0,000;0,000;0,387;6;0,47;Training;;;;;;
557;CNCCC=C1c2ccccc2C2CC2c2ccccc12;CNCCC=C3c1ccccc1C2CC2c4ccccc34 ;CNCCC=C3c1ccccc1C2CC2c4ccccc34 ;octriptyline;1;;;2,05;1,49;0,25;1,07;2,29;275,39;12,03;5,02;2,47;1;1;999;10,1;0;0,998;0,000;0,000;0,002;3;0,24;Training;;;;;;
558;Fc1ccc(cc1)C1CCN(CC1COc1ccc2c(c1)OCO2)CC(=O)c1ccc(cc1)F;Fc1ccc(cc1)C2CCN(CC2COc4ccc3OCOc3c4)CC(=O)c5ccc(F)cc5 ;Fc1ccc(cc1)C2CCN(CC2COc4ccc3OCOc3c4)CC(=O)c5ccc(F)cc5 ;omiloxetine;1;;;2,51;2,79;0,05;1,63;3,31;465,49;48,00;5,71;5,30;0;5;999;7,6;0;0,613;0,000;0,000;0,387;7;0,34;Training;;;;;;
559;CC(=O)Nc1ccc(cc1)S(=O)(=O)c1ccc(cc1)NC(C)=O;Cc1ncc(N(=O)=O)n1CC(O)CCl ;Cc1ncc(N(=O)=O)n1CC(O)CCl ;ornidazole;1;;;0,91;2,00;0,41;1,20;1,46;219,62;83,87;0,27;0,27;1;6;999;5;0;0,004;0,000;0,000;0,996;4;0,29;Training;;;;;;
560;CC(C)N1CCOC(C1)c1cccc(c1)C(F)(F)F;CC(C)N1CCOC(C1)c2cccc(c2)C(F)(F)F ;CC(C)N1CCOC(C1)c2cccc(c2)C(F)(F)F ;oxaflozane;1;;;0,81;1,13;0,00;0,92;1,95;273,29;12,47;3,27;3,02;0;2;999;7,3;0;0,443;0,000;0,000;0,557;3;0,33;Training;;;;;;
561;403;OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ;OC3N=C(c1ccccc1)c2cc(Cl)ccc2NC3=O ;oxazepam;1;;;2,41;1,84;0,60;1,44;1,99;286,71;61,69;2,32;2,32;2;4;999;1,5;0;0,000;0,000;0,000;1,000;1;0,30;Training;;;;;;
562;404;NC(=O)N2c1ccccc1CC(=O)c3ccccc23 ;NC(=O)N2c1ccccc1CC(=O)c3ccccc23 ;oxcarbazepine;1;;;2,09;2,31;0,34;1,22;1,87;252,27;63,40;1,82;1,82;2;4;999;-999;0;0,000;0,000;0,000;1,000;0;0,24;Training;;;;;;
563;CC(Cc1ccccc1)[N+](C)([O-])Cc1ccccc1;CC(Cc1ccccc1)N(C)(=O)Cc2ccccc2 ;CC(Cc1ccccc1)N(C)(=O)Cc2ccccc2 ;oxifentorex;1;;;1,18;1,53;0,00;0,58;2,19;255,35;17,07;4,43;4,43;0;2;999;-999;0;0,000;0,000;0,000;1,000;5;0,54;Training;;;;;;
564;405;O=c2[nH]c1ccccc1n2C4CCN(CCOc3ccccc3)CC4 ;O=c2[nH]c1ccccc1n2C4CCN(CCOc3ccccc3)CC4 ;oxiperomide;1;;;2,33;2,29;0,33;1,50;2,61;337,41;44,81;3,31;2,53;1;5;999;8,1;0;0,834;0,000;0,000;0,166;5;0,30;Training;;;;;;
565;NC(=O)CN1CC(O)CC1=O;NC(=O)CN1CC(O)CC1=O ;NC(=O)CN1CC(O)CC1=O ;oxiracetam;1;;;1,01;1,78;0,68;1,45;1,14;158,15;83,63;-1,73;-1,73;3;5;999;-999;0;0,000;0,000;0,000;1,000;2;0,60;Training;;;;;;
566;C[C@@]12C[C@H](O)[C@H]3[C@@H](CCC(=O)C4C(=O)C=C[C@]34C)[C@@H]2CC[C@]1(O)C(=O)CO;CC13C=CC(=O)C1C(=O)CCC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34 ;CC13C=CC(=O)C1C(=O)CCC4C2CCC(O)(C(=O)CO)C2(C)CC(O)C34 ;oxisopred;1;;;2,00;3,36;0,80;2,46;2,81;376,44;111,90;0,66;0,41;3;6;7,5;-999;0;0,000;0,443;0,000;0,557;2;0,30;Training;;;;;;
567;N[C@@H](Cc1c[nH]c2ccc(cc12)O)C(O)=O;NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O ;NC(Cc1c[nH]c2ccc(O)cc12)C(O)=O ;oxitriptan;1;;;1,95;2,10;1,05;1,53;1,60;220,22;99,34;-2,33;-2,34;5;5;2,1;9,1;1;0,000;0,020;0,980;0,000;3;0,41;Training;;;;;;
568;CN(C)C(=O)COC1c2ccccc2CCc2ccccc12;CN(C)C(=O)COC2c1ccccc1CCc3ccccc23 ;CN(C)C(=O)COC2c1ccccc1CCc3ccccc23 ;oxitriptyline;1;;;1,82;1,84;0,00;1,01;2,38;295,37;29,54;3,97;3,97;0;3;999;-999;0;0,000;0,000;0,000;1,000;3;0,27;Training;;;;;;
569;406;COc1ccc2CC4N(C)CCC35C(Oc1c23)C(=O)CCC45O ;COc1ccc2CC4N(C)CCC35C(Oc1c23)C(=O)CCC45O ;oxycodone;1;;;2,01;2,81;0,29;2,23;2,26;315,36;59,00;-0,28;-1,23;1;5;999;8,3;0;0,888;0,000;0,000;0,112;1;0,33;Training;;;;;;
570;407;CN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3=O)c45 ;CN1CCC24C3Oc5c(O)ccc(CC1C2(O)CCC3=O)c45 ;oxymorphone;1;;;2,17;2,86;0,53;2,23;2,12;301,34;70,00;-0,75;-1,70;2;5;9,6;8,3;0;0,883;0,001;0,006;0,111;0;0,46;Training;;;;;;
571;CC(C)CCC(=O)C[C@H]1N(C(=O)c2ccccc21)c1ccc2ccc(nc2n1)Cl;CC(C)CCC(=O)CC1N(C(=O)c2ccccc12)c4ccc3ccc(Cl)nc3n4 ;CC(C)CCC(=O)CC1N(C(=O)c2ccccc12)c4ccc3ccc(Cl)nc3n4 ;pagoclone;1;;;2,77;2,64;0,00;1,48;3,02;407,89;63,16;4,22;4,21;0;5;999;3,8;0;0,000;0,000;0,000;1,000;6;0,33;Training;;;;;;
572;CC(C)N1C(=O)c2n(cnc2c2noc(n2)C2CC2)c2ccccc12;CC(C)n2c(=O)c1c(ncn1c3ccccc23)c4noc(n4)C5CC5 ;CC(C)n2c(=O)c1c(ncn1c3ccccc23)c4noc(n4)C5CC5 ;panadiplon;1;;;2,45;2,44;0,00;1,74;2,37;335,36;76,53;3,04;3,03;0;7;999;5;0;0,004;0,000;0,000;0,996;3;0,49;Training;;;;;;
573;COc1ccc(cc1)N1C[C@H](CN2CCC(O)(CC2)c2ccc3c(c2)OCO3)OC1=O;COc1ccc(cc1)N5CC(CN2CCC(O)(CC2)c4ccc3OCOc3c4)OC5=O ;COc1ccc(cc1)N5CC(CN2CCC(O)(CC2)c4ccc3OCOc3c4)OC5=O ;panamesine;1;;;2,62;2,88;0,28;2,48;3,06;426,46;80,70;1,92;0,79;1;8;999;8,5;0;0,926;0,000;0,000;0,074;5;0,32;Training;;;;;;
574;Nc1cc(c(cc1Cl)C(=O)NC1CN2CCC1CC2)OCC1CC1;Nc2cc(OCC1CC1)c(cc2Cl)C(=O)NC3CN4CCC3CC4 ;Nc2cc(OCC1CC1)c(cc2Cl)C(=O)NC3CN4CCC3CC4 ;pancopride;1;;;2,17;2,04;0,53;1,57;2,58;349,85;67,59;2,89;0,98;3;5;999;9,3;0;0,988;0,000;0,000;0,012;5;0,65;Training;;;;;;
575;O=C(NC1CCN(CC1)Cc1ccc2ccccc2c1)NC(=O)c1ccccc1;O=C(NC1CCN(CC1)Cc3ccc2ccccc2c3)NC(=O)c4ccccc4 ;O=C(NC1CCN(CC1)Cc3ccc2ccccc2c3)NC(=O)c4ccccc4 ;panuramine;1;;;2,94;3,00;0,56;1,74;3,04;387,47;61,44;4,76;3,34;2;5;7,6;8,6;0;0,577;0,023;0,364;0,036;4;0,58;Training;;;;;;
576;CC1OC(C)OC(C)O1;CC1OC(C)OC(C)O1 ;CC1OC(C)OC(C)O1 ;paraldehyde;1;;;0,36;1,05;0,09;0,84;1,02;132,16;27,69;0,99;0,99;0;3;999;-999;0;0,000;0,000;0,000;1,000;0;0,50;Training;;;;;;
577;C[C@@H]1C[C@H]2C3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COC(C)=O;CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2C(O)CC3(C)C4(O)C(=O)COC(C)=O ;CC4CC3C2CC(F)C1=CC(=O)C=CC1(C)C2C(O)CC3(C)C4(O)C(=O)COC(C)=O ;paramethasone-acetate;1;;;1,96;3,03;0,48;2,12;3,21;434,50;100,90;2,35;2,35;2;6;999;-999;0;0,000;0,000;0,000;1,000;4;0,29;Training;;;;;;
578;CN(CC#C)Cc1ccccc1;CN(CC#C)Cc1ccccc1 ;CN(CC#C)Cc1ccccc1 ;pargyline;1;;;1,04;1,05;0,07;0,70;1,43;159,23;3,24;1,88;1,83;0;1;999;6,5;0;0,112;0,000;0,000;0,888;4;0,35;Training;;;;;;
579;Fc1ccc(cc1)C1CCNCC1COc1ccc2c(c1)OCO2;Fc1ccc(cc1)C2CCNCC2COc4ccc3OCOc3c4 ;Fc1ccc(cc1)C2CCNCC2COc4ccc3OCOc3c4 ;paroxetine;1;;;1,93;2,30;0,27;1,20;2,39;329,36;39,72;3,74;2,05;1;4;999;9,1;0;0,980;0,000;0,000;0,020;4;0,48;Training;;;;;;
580;Clc1ccc2ccc(nc2n1)N1C(CC(=O)N2CCC3(CC2)OCCO3)c2ccccc2C1=O;Clc2ccc1ccc(nc1n2)N6C(CC(=O)N3CCC4(CC3)OCCO4)c5ccccc5C6=O ;Clc2ccc1ccc(nc1n2)N6C(CC(=O)N3CCC4(CC3)OCCO4)c5ccccc5C6=O ;pazinaclone;1;;;3,43;3,88;0,00;2,58;3,31;478,93;84,86;2,79;2,79;0;8;999;3,8;0;0,000;0,000;0,000;1,000;3;0,68;Training;;;;;;
581;410;NC1=NC(=O)C(O1)c2ccccc2 ;NC1=NC(=O)C(O1)c2ccccc2 ;pemoline;1;;;1,54;1,56;0,24;1,42;1,26;176,17;64,68;0,93;0,93;2;4;999;1,3;0;0,000;0,000;0,000;1,000;1;0,29;Training;;;;;;
